"";"Codigo";"X";"Y";"Pais";"Clase";"Cita";"Fecha";"Autor(es)";"year";"Titulo";"Palabras Clave";"Resumen";"Tematica";"Link";"Tipo";"filtroE";"filtroP";"Bioma"
"13";"art013";-5,881672;-79,782778;"Perú";"AVES";"Brumfield and Capparella 1996";NA;"Brumfield R; Capparella A";1996;"Genetic Differentiation and Taxonomy in the House Wren Species Group";"Troglodytidae; Troglodytes aedon; House Wren; genetic variation; isozymes; systematics; historical biogeography";"The current taxonomic status of the Troglodytes aedon (House Wren) species group was evaluated by examining levels and patterns of isozyme differentiation. Traditionally; three major taxonomic groups of continental House Wrens have been recognized: (1) aedon (Northern House-Wren); (2) brunneicollis (Brown-throated Wren); and (3) musculus (Southern House-Wren). The isozyme data were converted to genetic distances and analyzed using UPGMA; Distance Wagner; Fitch-Margoliash; ""minimum-evolution;"" and neighbor-joining algorithms. In addition; a cladistic frequency parsimony analysis (FREQPARS) was performed. All of these methods revealed that the Northern House-Wren and the Brown-throated Wren are sister taxa. There was little genetic differentiation (average Nei's D = 0.010) among the seven subspecies of the Southern House-Wren analyzed. Average genetic distances between the Southern House-Wren; the Northern House-Wren; and the Brown-throated Wren are higher than any values reported for intraspecific variation in Nearctic birds; and are comparable to levels of divergence between other Nearctic and Neotropical species. Although the current taxonomy considers the three forms members of a single species; we recommend re-elevating the three groups to species status based on the genetic differences that indicate the three are distinct evolutionary ""units."" We propose a vicariant hypothesis for the divergence of the Northern House-Wren and the Brown-throated Wren.";"Ecología";"http://www.jstor.org/stable/1369567";"Artículo";"Tumbes-Piura dry forests";"Peru";"Bosques secos"
"14";"art014";-5,881672;-79,782778;"Perú";"AVES";"Burns 1997";NA;"Burns K";1997;"Molecular Systematics of Tanagers (Thraupinae): Evolution and Biogeography of a Diverse Radiation of Neotropical Birds";"No aplica";"The tanagers (Passeriformes: Emberizidae: Thraupinae) are a diverse group of mostly Neotropical birds with a wide range of feeding morphologies; behaviors; plumage patterns and colors; and habitat preferences. Phylogenetic relationships of genera in this lineage were investigated using cytochrome b sequence data. This study indicates that the genera Euphonia and Chlorophonia (traditionally considered part of Thraupinae) do not form a monophyletic group with the other tanagers. Within the rest of Thraupinae; several monophyletic groups are identified that agree with traditional sequential taxonomies. Other monophyletic groups provide novel interpretations of biogeographic patterns and morphological evolution within tanagers. In several lineages; plumage patterns and colors persist despite dramatic changes in bill morphology. Phylogenetic structure and estimated timings of divergence events indicate that tanagers probably originated on Caribbean islands and later diversified throughout Central and South America during the mid-Tertiary.";"Ecología";"http://www.sciencedirect.com/science/article/pii/S1055790397904309";"Artículo";"Tumbes-Piura dry forests";"Peru";"Bosques secos"
"15";"art015";-2,227451;-80,818753;"Perú";"AVES";"Campbell 1971";NA;"Campbell K";1971;"First Report of Sandwich Terns in Peru";"No aplica";"No aplica";"Distribución";"http://www.jstor.org/stable/4083765";"Artículo";"Ecuadorian dry forests";"Ecuador";"Bosques secos"
"16";"art016";-7,983333;-78,683333;"Perú";"AVES";"Carriker 1934";NA;"Carriker M";1934;"Rediscovery of Conothraupis Speculigera (Gould)";"No aplica";"No aplica";"Distribución";"http://www.jstor.org/stable/4077815";"Artículo";"Sechura desert";"Peru";"Bosques secos"
"17";"art017";-4,021021;-79,839129;"Perú";"AVES";"Carriker 1935";NA;"Carriker M";1935;"Descriptions of New Birds from Peru and Ecuador; with Critical Notes on Other Little-Known Species";"No aplica";"No aplica";"Sistemática";"http://www.jstor.org/stable/4064219";"Artículo";"Eastern Cordillera real montane forests";"Ecuador";"Bosques secos"
"18";"art018";-4,534097;-80,626858;"Perú";"AVES";"Chapman 1920";NA;"Chapman F";1920;"Description of a Proposed New Race of the Killdeer from the Coast of Peru";"No aplica";"No aplica";"Sistemática";"http://www.jstor.org/stable/4072966";"Artículo";"Tumbes-Piura dry forests";"Peru";"Bosques secos"
"19";"art019";-4,701555;-79,876695;"Perú";"AVES";"Chapman 1923";NA;"Chapman F";1923;"Descriptions of proposed new birds from Panama; Venezuela; Ecuador; Peru and Bolivia.";"No aplica";"No aplica";"Sistemática";"NA";"Artículo";"Eastern Cordillera real montane forests";"Peru";"Bosques secos"
"20";"art020";0,968151;-79,458041;"Perú";"AVES";"Chapman 1923";NA;"Chapman F";1923;"Descriptions of proposed new Formicariidae and Dendrocolaptidae.";"No aplica";"No aplica";"Sistemática";"NA";"Artículo";"Western Ecuador moist forests";"Ecuador";"Bosques lluviosos"
"21";"art021";0,968151;-79,458041;"Perú";"AVES";"Chapman 1923";NA;"Chapman F";1923;"The distribution of the motmots of the genus Momotus.";"No aplica";"No aplica";"Distribución";"NA";"Artículo";"Western Ecuador moist forests";"Ecuador";"Bosques lluviosos"
"22";"art022";-3,459809;-79,547397;"Perú";"AVES";"Chapman 1923";NA;"Chapman F";1923;"Mutation among birds in the genus Buarremon";"No aplica";"No aplica";"Ecología";"NA";"Artículo";"Eastern Cordillera real montane forests";"Ecuador";"Bosques secos"
"23";"art023";-0,618053;-79,547397;"Perú";"AVES";"Chapman 1924";NA;"Chapman F";1924;"Descriptions of new flycatchers from Colombia; Ecuador; and Peru.";"No aplica";"No aplica";"Distribución";"NA";"Artículo";"Western Ecuador moist forests";"Ecuador";"Bosques lluviosos"
"24";"art024";-0,714028;-79,458041;"Perú";"AVES";"Chapman 1924";NA;"Chapman F";1924;"Descriptions of new genera and species of Tracheophonae from Panama; Ecuador; Peru and Bolivia";"No aplica";"No aplica";"Distribución";"NA";"Artículo";"Western Ecuador moist forests";"Ecuador";"Bosques lluviosos"
"25";"art025";0,968151;-79,17772;"Perú";"AVES";"Chapman 1924";NA;"Chapman F";1924;"Descriptions of new birds from Ecuador; Colombia; Peru; and Bolivia";"No aplica";"No aplica";"Distribución";"NA";"Artículo";"Western Ecuador moist forests";"Ecuador";"Bosques lluviosos"
"26";"art026";-0,714028;-79,17772;"Perú";"AVES";"Chapman 1924";NA;"Chapman F";1924;"Descriptions of new birds from Colombia; Ecuador; Peru and Bolivia.";"No aplica";"No aplica";"Distribución";"NA";"Artículo";"Northwestern Andean montane forests";"Ecuador";"Bosques lluviosos"
"27";"art027";-3,63805;-79,547397;"Perú";"AVES";"Chapman 1925";NA;"Chapman F";1925;"Descriptions of new birds from Ecuador and Peru";"No aplica";"No aplica";"Distribución";"NA";"Artículo";"Eastern Cordillera real montane forests";"Ecuador";"Bosques secos"
"28";"art028";-0,618053;-79,889032;"Perú";"AVES";"Chapman 1925";NA;"Chapman F";1925;"Descriptions of one new genus and of species of birds from Peru and Ecuador.";"No aplica";"No aplica";"Distribución";"NA";"Artículo";"Western Ecuador moist forests";"Ecuador";"Bosques lluviosos"
"29";"art029";-3,687282;-78,738357;"Perú";"AVES";"Chapman 1927";NA;"Chapman F";1927;"Description of new birds from northwestern Peru and western Colombia.";"No aplica";"No aplica";"Distribución";"NA";"Artículo";"Eastern Cordillera real montane forests";"Ecuador";"Bosques secos"
"30";"art030";-4,102463;-78,738357;"Perú";"AVES";"Chapman 1927";NA;"Chapman F";1927;"The variations and distribution of Saltator aurantiirostris.";"No aplica";"No aplica";"Distribución";"NA";"Artículo";"Eastern Cordillera real montane forests";"Ecuador";"Bosques secos"
"31";"art031";-4,021021;-78,738357;"Perú";"AVES";"Chapman 1940";NA;"Chapman F";1940;"The post-glacial history of Zonotrichia capensis.";"No aplica";"No aplica";"H.Natural";"NA";"Libro";"Eastern Cordillera real montane forests";"Ecuador";"Bosques secos"
"32";"art032";0,968151;-79,458041;"Perú";"AVES";"Chapman and Griscom 1924";NA;"Chapman F; Griscom L";1924;"The house wrens of the genus Troglodytes";"No aplica";"No aplica";"H.Natural";"NA";"Artículo";"Western Ecuador moist forests";"Ecuador";"Bosques lluviosos"
"33";"art033";-2,189029;-79,866078;"Perú";"AVES";"Chubb 1919";NA;"Chubb C";1919;"I.-Notes on Collections of Birds in the British Museum; from Ecuador; Peru; Bolivia; and Argentina";"No aplica";"No aplica";"Sistemática";"https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1474-919X.1919.tb02871.x";"Artículo";"Western Ecuador moist forests";"Ecuador";"Bosques lluviosos"
"34";"art034";-6,863125;-79,815667;"Perú";"AVES";"Chubb 1919";NA;"Chubb C";1919;"XV.-Notes on Collections of Birds in the British Museum; Part 11. from Ecuador; Peru; Bolivia; and Argentina. PODICIPEDIFORMES - ACCIPITHIFOHMES.";"No aplica";"No aplica";"Sistemática";"https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1474-919X.1919.tb02885.x";"Artículo";"Sechura desert";"Peru";"Bosques secos"
"35";"art035";-4,142947;-80,58742;"Perú";"AVES";"Cook 1996";NA;"Cook A";1996;"Avifauna of North-western Peru Biosphere Reserve and its environs";"No aplica";"The avifauna of the environs of North-western Peru Biosphere Reserve (NPBR) is herein catalogued. This reserve embraces the largest example of protected Neotropical Pacific xeric forests; a habitat complex much scarcer than rainforests. NPBR is very important conservationally because much of the adjoining dry-forest region of south-western Ecuador has been denuded. Exact locality records and their specific literature sources are furnished for North American migrants and those species which have inhabited the vicinity of NPBR but have not been reported there by the authors of reference books that address avian geography. For each tabulated avian species; the earliest attribution or one of the earliest attributions for a specific record of that taxon in the environs of NPBR is provided. Also; 16 species that are threatened; or are endemic to a short strip of extreme south-western Ecuador and north-western Peru; are noted.";"Diversidad";"NA";"Artículo";"Tumbes-Piura dry forests";"Peru";"Bosques secos"
"36";"art036";-7,903535;-78,564667;"Perú";"AVES";"Cory 1919";NA;"Cory C";1919;"Descriptions of New Birds from South America";"No aplica";"No aplica";"Sistemática";"http://www.jstor.org/stable/4072788";"Artículo";"Sechura desert";"Peru";"Bosques secos"
"37";"art037";-6,437813;-79,5;"Perú";"AVES";"Duffy 1983";NA;"Duffy D";1983;"The Ecology of Tick Parasitism on Densely Nesting Peruvian Seabirds";"colonial nesting; ectoparasites; Ornithodoros amblus; Pelecanus occidentalis thagus; Phalacrocorax bougainvillii; Population regulation; seabirds; Sula variegate; ticks";"Densely nesting Guanay Cormorants (Phalacrocorax bougainvillii); Peruvian Booby (Sula variegate); and Peruvian Brown Pelican (Pelecanus occidentalis thagus) deserted eggs and young in response to high densities of argasid ticks (Ornithodoros amblus). Alternative causes of desertion such as human disturbance; predation; disease; heat; and food shortage did not fit the evidence. Tick predators were less effective at controlling ticks than were frequent human harvestings of guano. A review of the avian and medical entomological literature indicates that ticks and other ectoparasites may be strong determinants of nesting success and of nest structure and duration of use.";"Ecología";"https://esajournals.onlinelibrary.wiley.com/doi/abs/10.2307/1937334";"Artículo";"Tumbes-Piura dry forests";"Peru";"Bosques secos"
"38";"art038";-7,8;-79,5;"Perú";"AVES";"Duffy 1983";NA;"Duffy D";1983;"Environmental uncertainty and commercial fishing: Effects on Peruvian guano birds";"No aplica";"The roles of the El Niño phenomenon; a cessation of upwelling; and of human fishing in limiting populations of Peruvian guano birds (Guanay cormorant Phalacrocorax bougainvillii; Peruvian booby Sula variegata; and Peruvian brown pelican Pelecanus occidentalis thagus) were investigated using historical records and the scientific literature. In normal years; the combined populations of the three species showed an 18 % increase per year. El Niño occurred at approximately five-year intervals and caused a population decrease of 17 % and 35 % desertion of nesting areas. In severe El Niño at approximately 12-year intervals; there was a mean decrease of 4 7 % and complete nesting failure. El Niño varied in severity and a possible explanation is presented. In non-El Niño years; commercial fishing did not directly control bird populations through starvation of adults or drowning in nets. Increased commercial fishing apparently led to decreased nesting success."" The greater the quantity offish landed; the lower the percentage increase of the bird population that year. Short-lived; heavily-fished species such as anchoveta are in constant danger of population collapse during years of occasional; unpredictable reproductive failure. Bird populations could be maintained as buffers to prevent terminally-destructive overfishing by humans.";"Ecología";"https://www.sciencedirect.com/science/article/pii/0006320783900757";"Artículo";NA;NA;"Bosques lluviosos"
"39";"art039";-7,8;-79,5;"Perú";"AVES";"Duffy 1983";"01/14/1983";"Duffy D";1983;"Competition for Nesting Space among Peruvian Guano Birds";"No aplica";"In the mid-1940's; Peruvian managers greatly increased the nesting space available to the three principal surface-nesting species of the Peruvian Coastal Current: the Guanay Cormorant (Phalacrocorabxo ugainvillii) the Peruvian Booby (Sula variegata); and the Peruvian Brown Pelican (Pelecanuso ccidentalis thagus). The combined populations of these three species increased from 8 to 20 million birds. The annual rate of increase of the population rose from 8 to 18%. The three species appear to have evolved in the face of a shortage of nesting space. They have not diverged in their respective breeding seasons E. ach species has habitat preferences for nesting; but the overlap is great. The booby and cormorant compete through a ""scramble"" to occupy space before it is settled by the other species. Neither can displace the other from nest sites. The pelican is dominant over the other two in aggressive interactions and frequently usurps their nests. Pelicans are apparently confined to nesting in level areas; whereas the other two species can nest on a greater range of gradients.";"Ecología";"https://doi.org/10.1093/auk/100.3.680";"Artículo";NA;NA;"Bosques lluviosos"
"40";"art040";-6,437813;-80,859788;"Perú";"AVES";"Duffy and Campos 1986";"01/20/1986";"Duffy D; Campos M";1986;"Tick Parasitism at Nesting Colonies of Blue-Footed Boobies in Peru and Galapagos";"Tick parasitism; Ixodoidea; Blue-footed Boobies; Sula nebouxi; Peru; Galápagos";"No aplica";"Ecología";"http://www.jstor.org/stable/1368921";"Artículo";NA;NA;"Bosques lluviosos"
"41";"art041";-6,437813;-79,5;"Perú";"AVES";"Duffy and Ricklefs 1981";NA;"Duffy D; Ricklefs R";1981;"Observations on Growth of Blue-footed Boobies and Development of Temperature Regulation in Peruvian Guano Birds";"No aplica";"No aplica";"Ecología";"http://www.jstor.org/stable/27639257";"Artículo";"Tumbes-Piura dry forests";"Peru";"Bosques secos"
"42";"art042";-5,562246;-79,5;"Perú";"AVES";"Hays 1984";NA;"Hays C";1984;"The Humboldt penguin in Peru";"No aplica";"No aplica";"H.Natural";"NA";"Artículo";"Eastern Cordillera real montane forests";"Peru";"Bosques secos"
"43";"art043";-4,250604;-81,233296;"Perú";"AVES";"Hays 1986";NA;"Hays C";1986;"Effects of the 1982-1983 El Nino on Humboldt penguin colonies in Peru";"No aplica";"The Humboldt penguin Spheniscus humbotdti is endemic to the Peruvian Current which flows northward along the coast of Chile and Peru. This species has greatly diminished from its former abundance. The coast of Peru is characterised by high biological productivity which concentrates fish such as the anchovy Engraulis ringens; the main prey item of marine predators including seabirds. In years of the abnormal oceanographic conditions of El Nino; the schools of anchovies become unavailable to the seabirds and they disperse in search of food. Massive mortality; especially of juveniles; results and there is nest desertion and lack of reproduction. This paper describes the effects of the 1982-83 El Nino on Humboldt penguin colonies in Peru. There has been an overall population decline of 65 % and the surviving population in 1984 was estimated to be between 2100 and 3000 adults. Although El Nino is a periodic event and the Humboldt penguin has evolved to adapt to such unpredictable changes; the environment has now been altered by man. Under these circumstances; the 1982-83 El Nino has contributed to placing this species in a critical position.";"Ecología";"https://www.sciencedirect.com/science/article/pii/0006320786900054";"Artículo";NA;NA;"Bosques lluviosos"
"44";"art044";-6,437813;-79,5;"Perú";"AVES";"Hays 1989";NA;"Hays C";1989;"The Peruvian Diving Petrel in Peru";"No aplica";"The Peruvian diving petrel Pelecanoides garnotii is endemic to the Peruvian or Humboldt Current. Descriptions of past colonies suggest that the species was once abundant in Peru; but harvesting guano on its nesting islands and killing the birds for their meat caused a drastic decline in the population. Fishing activities and direct exploitation threaten the only two remaining breeding colonies in Peru. There are an estimated 4000 breeding individuals left; but unless they are protected the species will continue to decline.";"Ecología";"NA";"Artículo";"Tumbes-Piura dry forests";"Peru";"Bosques secos"
"45";"art045";-2,189029;-79,55;"Perú";"AVES";"Hughes 1968";NA;"Hughes R";1968;"Notes on the occurrence of the Grey-Hooded Gull Larus cirrocephalus on the west coast of South America";"No aplica";"No aplica";"Distribución";"https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1474-919X.1968.tb00047.x";"Artículo";"Ecuadorian dry forests";"Ecuador";"Bosques secos"
"46";"art046";-6,437813;-80,859788;"Perú";"AVES";"Jahncke and Goya 2000";"10/28/1999";"Jahncke J; Goya E";2000;"Responses of Three Booby Species to El Niño 1997-1998";"Diet; El Niño; Peru; Sula variegata; Sula nebouxii; Sula dactylatra upwelling; Masked Booby; Blue-footed Booby; Peruvian Booby; niche; Engraulis ringens; Peruvian anchovy";"From May 1996 to June 1998; we studied the feeding ecology of Peruvian (Sula variegata); Blue-footed (S. nebouxii) and Masked boobies (S. dactylatra) on Lobos de Tierra Island; at the northern edge of the Peruvian Upwelling System. During this period; changing oceanographic conditions affected prey availability: 1996 was cold and 1997-1998 was an El Niño event. The three species showed different responses to changes in the surrounding marine environment. Peruvian Boobies fed exclusively on Peruvian anchovies (Engraulis ringens) during both 1996 and 1997 and were not present on the island in 1998. Blue-footed and Masked boobies fed extensively on this prey during 1996; less so in 1997; and no anchovies were found in their diet in 1998. In 1997-1998; Blue-footed Boobies switched to coastal fishes other than anchovies; and Masked Boobies fed almost exclusively on oceanic prey species. Changes in regurgitate mass and mean number of prey items in regurgitates were also observed. Results suggest that the abundance and availability of fish prey species; mainly Peruvian anchovies; determines thresholds at which boo- by species change foraging strategies to avoid possible competition for less available resources.";"Ecología";"http://www.jstor.org/stable/4641115";"Artículo";NA;NA;"Bosques lluviosos"
"47";"art047";-5,583333;-79,8;"Perú";"AVES";"de Macedo-Ruiz 1979";NA;"de Macedo-Ruiz H";1979;"Extinct' Bird Found in Peru";"No aplica";"No aplica";"H.Natural";"NA";"Artículo";"Tumbes-Piura dry forests";"Peru";"Bosques secos"
"48";"art048";-6,221674;-81,100005;"Perú";"AVES";"Mills 1968";NA;"Mills E";1968;"Observations of the Ringed Storm-Petrel off the North-West Coast of South America";"No aplica";"No aplica";"H.Natural";"https://www.jstor.org/stable/1366514";"Artículo";NA;NA;"Bosques lluviosos"
"49";"art049";-6,477653;-78,683333;"Perú";"AVES";"O'Neill 1966";NA;"O'Neill J";1966;"Notes on the Distribution of Conothraupis speculigera (Gould)";"No aplica";"No aplica";"Distribución";"http://www.jstor.org/stable/1366268";"Artículo";"Peruvian Yungas";"Peru";"Bosques lluviosos"
"50";"art050";-3,281951;-79,682535;"Perú";"AVES";"Parker et al. 1995";NA;"Parker T; Schulenberg T; Kessler M; Wust W";1995;"Natural history and conservation of the endemic avifauna in north-west Peru";"No aplica";"Roughly 30% of the avifauna of the dry tropical forests of north-western Peru and adjacent south-western Ecuador is endemic to this small region. Large areas in this region; especially on the Ecuadorian side of the border; have been deforested; further heightening the threatened conservation status of this fauna. The largest remaining tracts of forest in this region are in the Bosque Nacional de Tumbes; Peru. This forest; which was visited in 1986 and 1988; holds significant populations of 12 threatened or near-threatened species; and smaller populations of at least three more endangered species. Six species (Aramides axillaris; Thalurania colombica; Picumnus olivaceus; Attila torridus; Arremonops conirostris; Carduelis siemiradzkii) are reported in Peru for the first time. Evidence is presented for seasonal movements of some species; including the threatened Leptotila ochraceiventris and in the small Peruvian population of Pionus chalcopterus. Based primarily on vocal evidence; it is proposed that Thamnophilus zarumae and Grallaria watkinsi be recognized as full species; and that ""Empidonax"" griseipectus be transferred to Lathrotriccus; further work is needed on the species status of endemic forms in other polytypic species such as Sittasomus griseicapillus and Pyriglena leuconota.";"H.Natural";"NA";"Artículo";"Northwestern Andean montane forests";"Ecuador";"Bosques lluviosos"
"51";"art051";-3,641515;-80,439437;"Perú";"AVES";"Pearson and Snow 1974";NA;"Pearson D; Snow D";1974;"Puna bird species on the coast of Peru";"No aplica";"No aplica";"Distribución";"https://doi.org/10.2307/4084486";"Artículo";"Tumbes-Piura dry forests";"Peru";"Bosques secos"
"52";"art052";-3,717289;-79,610905;"Perú";"AVES";"Robbins et al. 1994";NA;"Robbins M; Ridgely R; Cardiff S";1994;"Voice; Plumage and Natural History of Anthony's Nightjar (Caprimulgus anthonyi)";"Caprimulgus anthonyi; natural history; vocalizations";"No aplica";"H.Natural";"http://www.jstor.org/stable/1369085";"Artículo";"Eastern Cordillera real montane forests";"Ecuador";"Bosques secos"
"53";"art053";-4,336873;-79,433898;"Perú";"AVES";"Robbins et al. 1997";NA;"Robbins M; Rosenberg G; Sornoza-Molina F; Jácome M";1997;"Taxonomy and Nest Description of the Tumbes Swallow (Tachycineta [albilinea] stolzmanni)";"No aplica";"Until recently the endemic Tlimbesan swallow; Tachycineta [albilinea] stolzmanni; was known from only a handful of specimens; with nothing known about its natural history. Because of this dearth of information; stolzmanni has been treated for the past sixty years as a subspecies of the Mangrove Swallow {Tachycineta albilinea) of Central America. Newly acquired data on the vocalizations; nest structure; and morphology of stolzmanni indicate that it deserves specific status.";"Sistemática";"http://www.jstor.org/stable/40157557";"Artículo";"Eastern Cordillera real montane forests";"Ecuador";"Bosques secos"
"54";"art054";-5,987342;-79,745596;"Perú";"AVES";"Schoonmaker 1984";NA;"Peter Schoonmaker";1984;"Observations on the Nesting of the Black-Chested Buzzard-Eagle (Geranoaetus melanoleucus) in Peru";"No aplica";"No aplica";"H.Natural";"https://doi.org/10.2307/1367052";"Artículo";"Tumbes-Piura dry forests";"Peru";"Bosques secos"
"55";"art055";-5,954658;-79,766674;"Perú";"AVES";"Schoonmaker et al. 1985";NA;"Schoonmaker P; Wallace M; Temple S";1985;"Migrant and Breeding Peregrine Falcons in Northwestern Peru";"No aplica";"No aplica";"H.Natural";"https://doi.org/10.2307/1367227";"Artículo";"Tumbes-Piura dry forests";"Peru";"Bosques secos"
"56";"art056";-3,503756;-79,609506;"Perú";"AVES";"Schulenberg and Parker 1981";NA;"Schulenberg T; Parker T";1981;"Status and Distribution of Some Northwest Peruvian Birds";"No aplica";"A brief history of ornithological exploration in northwestern Peru (Depts. of Tumbes; Piura; and Lambayeque) is given; with emphasis on recent work by the authors and other personnel of the Louisiana State University Museum of Zoology. New information on the distribution of 48 species is presented. Two species; Common Nighthawk (Chordeiles minor) and Black-and-white Warbler (Mniotilta varia); are reported in Peru for the first time.";"Distribución";"https://doi.org/10.2307/1367309";"Artículo";"Eastern Cordillera real montane forests";"Ecuador";"Bosques secos"
"57";"art057";-6,477653;-79,91927;"Perú";"AVES";"Seutin et al. 1993";"8/14/1992";"Seutin G; Brawn J; Ricklefs R; Bermingham E";1993;"Genetic Divergence among Populations of a Tropical Passerine; the Streaked Saltator (Saltator albicollis)";"No aplica";"We analyzed mitochondrial-DNA (mtDNA) restriction-site variation in populations (subspecies) of the Streaked Saltator (Saltator albicollis) in Panama; Peru; and the Lesser Antilles. Genetic differentiation between populations (Panama vs. Peru; 0.035; Lesser Antilles vs. Panama/Peru; 0.063) greatly exceeded values reported for populations or subspecies within North American bird species (0.0028-0.0086); and was near the high end of the range reported for congeneric species of passerine birds (0.016-0.073). Nucleotide diversity within populations was similar to that reported for other species of passerines and did not differ markedly between mainland and island populations. Thus; founder effects and population bottlenecks associated with island colonization appear to have caused little; if any; loss of mtDNA nucleotide diversity. No significant mtDNA differentiation was observed between populations of named subspecies on mainland Panama (S. a. isthmicus) and the Pearl Islands (speratus); or between two subspecies in the Lesser Antilles (albicollis and guadelupensis). Saltator albicollis exhibits marked geographical genetic differentiation; as assayed by mtDNA polymorphism; but this bears little relationship to subspecies distinctions. Finally; the genetic data suggest that Antillean populations of Streaked Saltators should be distinguished at specific rank (S. albicollis); with continental forms referred to S. striatipectus.";"Ecología";"http://www.jstor.org/stable/4088238";"Artículo";"Sechura desert";"Peru";"Bosques secos"
