codigo,Pais,Provincia,Canton,Localidad,Clase,tematica,Codigo,Orden,Pais,Provincia,Canton,Localidad,X,Y,Clase,Tematica,filtroE,filtroP,Bioma
herp001,Ecuador,Los Ríos,Palenque,Rio Palenque Scientific Centre,AMPHIBIA,Biogeografía y distribución,herp001,Anura,Ecuador,Los Ríos,Palenque,Rio Palenque Scientific Centre,-0.56667,-79.33333,AMPHIBIA,Biogeografía y distribución,Western Ecuador moist forests,Ecuador,Bosques lluviosos
herp001,Ecuador,Esmeraldas,Same,Same,AMPHIBIA,Biogeografía y distribución,herp001,Anura,Ecuador,Esmeraldas,Same,Same,0.83333,-79.93333,AMPHIBIA,Biogeografía y distribución,NA,NA,Bosques lluviosos
herp001,Ecuador,Azuay,Tamarindo,Tamarindo,AMPHIBIA,Biogeografía y distribución,herp001,Anura,Ecuador,Azuay,Tamarindo,Tamarindo,-2.78333,-79.6,AMPHIBIA,Biogeografía y distribución,Northwestern Andean montane forests,Ecuador,Bosques lluviosos
art063,Peru,Piura,Piura,Abra de Porculla,AVES,Biogeografía y distribución,art063,Apodiformes,Peru,Piura,Piura,Abra de Porculla,-5.85,-79.516667,AVES,Biogeografía y distribución,Tumbes-Piura dry forests,Peru,Bosques secos
art147,Ecuador,Loja,Puyango,Alamor,AVES,Biogeografía y distribución,art147,Passeriformes,Ecuador,Loja,Puyango,Alamor,-4.021021,-80.022932,AVES,Biogeografía y distribución,Eastern Cordillera real montane forests,Ecuador,Bosques secos
art256,Ecuador,Loja,Puyango,Alamor,AVES,Biogeografía y distribución,art256,Strigiformes,Ecuador,Loja,Puyango,Alamor,-4.021021,-80.022932,AVES,Biogeografía y distribución,Eastern Cordillera real montane forests,Ecuador,Bosques secos
art186,Peru,La Libertad,Chimu,Alto Chicama,AVES,Biogeografía y distribución,art186,Passeriformes,Peru,La Libertad,Chimu,Alto Chicama,-7.551833,-78.742944,AVES,Biogeografía y distribución,Sechura desert,Peru,Bosques secos
art063,Peru,Piura,Paita,Amotape,AVES,Biogeografía y distribución,art063,Apodiformes,Peru,Piura,Paita,Amotape,-4.866668,-81.016667,AVES,Biogeografía y distribución,Tumbes-Piura dry forests,Peru,Bosques secos
art094,Ecuador,Santa Elena,Santa Elena,Ancón,AVES,Biogeografía y distribución,art094,Anseriformes,Ecuador,Santa Elena,Santa Elena,Ancón,-2.324704,-80.854749,AVES,Biogeografía y distribución,Ecuadorian dry forests,Ecuador,Bosques secos
art082,Peru,Tumbes,Tumbes,Área de conservación regional Angostura Faical,AVES,Biogeografía y distribución,art082,Passeriformes,Peru,Tumbes,Tumbes,Área de conservación regional Angostura Faical,-3.721692,-80.304964,AVES,Biogeografía y distribución,Tumbes-Piura dry forests,Peru,Bosques secos
art202,Ecuador,Esmeraldas,Atacames,Atacames,AVES,Biogeografía y distribución,art202,Passeriformes,Ecuador,Esmeraldas,Atacames,Atacames,0.872272,-79.852696,AVES,Biogeografía y distribución,NA,NA,Bosques lluviosos
art122,Peru,Piura,Ayabaca,Ayabaca,AVES,Biogeografía y distribución,art122,Accipitriformes,Peru,Piura,Ayabaca,Ayabaca,-4.672108,-79.871478,AVES,Biogeografía y distribución,Eastern Cordillera real montane forests,Peru,Bosques secos
art252,Peru,Piura,Ayabaca,Ayabaca,AVES,Biogeografía y distribución,art252,Passeriformes,Peru,Piura,Ayabaca,Ayabaca,-4.672108,-79.871478,AVES,Biogeografía y distribución,Eastern Cordillera real montane forests,Peru,Bosques secos
art202,Ecuador,Santa Elena,Valdivia,Ayangue,AVES,Biogeografía y distribución,art202,Procellariiformes,Ecuador,Santa Elena,Valdivia,Ayangue,-1.981235,-80.751708,AVES,Biogeografía y distribución,Western Ecuador moist forests,Ecuador,Bosques lluviosos
art122,Peru,Piura,Ayabaca,Aypate,AVES,Biogeografía y distribución,art122,Strigiformes,Peru,Piura,Ayabaca,Aypate,-4.700356,-79.575208,AVES,Biogeografía y distribución,Eastern Cordillera real montane forests,Peru,Bosques secos
art063,Ecuador,Los Ríos,Babahoyo,Babahoyo,AVES,Biogeografía y distribución,art063,Apodiformes,Ecuador,Los Ríos,Babahoyo,Babahoyo,-1.802054,-79.534771,AVES,Biogeografía y distribución,Guayaquil flooded grasslands,Ecuador,Bosques secos
art147,Ecuador,Los Ríos,Babahoyo,Babahoyo,AVES,Biogeografía y distribución,art147,Passeriformes,Ecuador,Los Ríos,Babahoyo,Babahoyo,-1.802054,-79.534771,AVES,Biogeografía y distribución,Guayaquil flooded grasslands,Ecuador,Bosques secos
art200,Ecuador,Manabí,Sucre,Bahía de Caráquez,AVES,Biogeografía y distribución,art200,Charadriiformes,Ecuador,Manabí,Sucre,Bahía de Caráquez,-0.618053,-80.423641,AVES,Biogeografía y distribución,South American Pacific mangroves,Ecuador,Bosques secos
art201,Ecuador,Manabí,Sucre,Bahía de Caráquez,AVES,Biogeografía y distribución,art201,Charadriiformes,Ecuador,Manabí,Sucre,Bahía de Caráquez,-0.618053,-80.423641,AVES,Biogeografía y distribución,South American Pacific mangroves,Ecuador,Bosques secos
art176,Peru,Piura,Sechura,Bahía de Sechura,AVES,Biogeografía y distribución,art176,Procellariiformes,Peru,Piura,Sechura,Bahía de Sechura,-5.586569,-80.8692,AVES,Biogeografía y distribución,NA,NA,Bosques lluviosos
art147,Ecuador,Guayas,Balzar,Balzar,AVES,Biogeografía y distribución,art147,Passeriformes,Ecuador,Guayas,Balzar,Balzar,-2.227011,-79.926262,AVES,Biogeografía y distribución,Western Ecuador moist forests,Ecuador,Bosques lluviosos
art190,Peru,Tumbes,Contralmirante Villar,Bocapan,AVES,Biogeografía y distribución,art190,Strigiformes,Peru,Tumbes,Contralmirante Villar,Bocapan,-3.717872,-80.723831,AVES,Biogeografía y distribución,NA,NA,Bosques lluviosos
art122,Peru,Piura,Ayabaca,Bosque nublado de Cuyas,AVES,Biogeografía y distribución,art122,Strigiformes,Peru,Piura,Ayabaca,Bosque nublado de Cuyas,-4.597803,-79.710072,AVES,Biogeografía y distribución,Eastern Cordillera real montane forests,Peru,Bosques secos
art222,Ecuador,Manabí,San Lorenzo,Bosque Pacoche,AVES,Biogeografía y distribución,art222,Strigiformes,Ecuador,Manabí,San Lorenzo,Bosque Pacoche,-1.067231,-80.881218,AVES,Biogeografía y distribución,Ecuadorian dry forests,Ecuador,Bosques secos
art092,Peru,Lambayeque,Ferreñafe,Bosque Pomac,AVES,Biogeografía y distribución,art092,Passeriformes,Peru,Lambayeque,Ferreñafe,Bosque Pomac,-6.487604,-79.765785,AVES,Biogeografía y distribución,Sechura desert,Peru,Bosques secos
art122,Peru,Piura,Huancabamba,Canchaque,AVES,Biogeografía y distribución,art122,Passeriformes,Peru,Piura,Huancabamba,Canchaque,-5.375997,-79.606675,AVES,Biogeografía y distribución,Eastern Cordillera real montane forests,Peru,Bosques secos
art056,Peru,Tumbes,Tumbes,Canoas,AVES,Biogeografía y distribución,art056,Procellariiformes,Peru,Tumbes,Tumbes,Canoas,-3.921403,-80.899301,AVES,Biogeografía y distribución,Tumbes-Piura dry forests,Peru,Bosques secos
art256,Ecuador,Loja,Paltas,Casanga,AVES,Biogeografía y distribución,art256,Cuculiformes,Ecuador,Loja,Paltas,Casanga,-4.014867,-79.765166,AVES,Biogeografía y distribución,Eastern Cordillera real montane forests,Ecuador,Bosques secos
art056,Peru,Piura,Piura,Catacaos,AVES,Biogeografía y distribución,art056,Apodiformes,Peru,Piura,Piura,Catacaos,-5.266255,-80.671542,AVES,Biogeografía y distribución,Tumbes-Piura dry forests,Peru,Bosques secos
art063,Peru,Piura,Piura,Catacaos,AVES,Biogeografía y distribución,art063,Apodiformes,Peru,Piura,Piura,Catacaos,-5.266255,-80.671542,AVES,Biogeografía y distribución,Tumbes-Piura dry forests,Peru,Bosques secos
art063,Ecuador,Loja,Paltas,Catacocha,AVES,Biogeografía y distribución,art063,Apodiformes,Ecuador,Loja,Paltas,Catacocha,-4.048921,-79.648461,AVES,Biogeografía y distribución,Eastern Cordillera real montane forests,Ecuador,Bosques secos
art063,Ecuador,Loja,Catamayo,Catamayo,AVES,Biogeografía y distribución,art063,Apodiformes,Ecuador,Loja,Catamayo,Catamayo,-3.986505,-79.356899,AVES,Biogeografía y distribución,Eastern Cordillera real montane forests,Ecuador,Bosques secos
art202,Ecuador,Loja,Catamayo,Catamayo,AVES,Biogeografía y distribución,art202,Psittaciformes,Ecuador,Loja,Catamayo,Catamayo,-3.996828,-79.369961,AVES,Biogeografía y distribución,Eastern Cordillera real montane forests,Ecuador,Bosques secos
art030,Ecuador,Loja,Celica,Celica,AVES,Biogeografía y distribución,art030,Passeriformes,Ecuador,Loja,Celica,Celica,-4.102463,-79.954353,AVES,Biogeografía y distribución,Eastern Cordillera real montane forests,Ecuador,Bosques secos
art147,Ecuador,Loja,Celica,Celica,AVES,Biogeografía y distribución,art147,Passeriformes,Ecuador,Loja,Celica,Celica,-4.102463,-79.954353,AVES,Biogeografía y distribución,Eastern Cordillera real montane forests,Ecuador,Bosques secos
art256,Ecuador,Loja,Celica,Celica,AVES,Biogeografía y distribución,art256,Piciformes,Ecuador,Loja,Celica,Celica,-4.1,-79.95,AVES,Biogeografía y distribución,Eastern Cordillera real montane forests,Ecuador,Bosques secos
art095,Peru,Tumbes,Tumbes,Cerro Amotape,AVES,Biogeografía y distribución,art095,Strigiformes,Peru,Tumbes,Tumbes,Cerro Amotape,-4.1695,-80.59655,AVES,Biogeografía y distribución,Tumbes-Piura dry forests,Peru,Bosques secos
art108,Peru,La Libertad,Ascope,Cerro Campana,AVES,Biogeografía y distribución,art108,Passeriformes,Peru,La Libertad,Ascope,Cerro Campana,-7.966667,-79.1,AVES,Biogeografía y distribución,Sechura desert,Peru,Bosques secos
art101,Peru,Lambayeque,Lambayeque,Cerro Chalpon,AVES,Biogeografía y distribución,art101,Passeriformes,Peru,Lambayeque,Lambayeque,Cerro Chalpon,-6.085833,-79.736944,AVES,Biogeografía y distribución,Tumbes-Piura dry forests,Peru,Bosques secos
art051,Peru,Piura,Sechura,Cerro Illescas,AVES,Biogeografía y distribución,art051,Cathartiformes,Peru,Piura,Sechura,Cerro Illescas,-5.954658,-81.082667,AVES,Biogeografía y distribución,Sechura desert,Peru,Bosques secos
art055,Peru,Piura,Sechura,Cerro Illescas,AVES,Biogeografía y distribución,art055,Falconiformes,Peru,Piura,Sechura,Cerro Illescas,-5.954658,-81.082667,AVES,Biogeografía y distribución,Sechura desert,Peru,Bosques secos
art092,Peru,Piura,Sechura,Cerro Ñaupe,AVES,Biogeografía y distribución,art092,Passeriformes,Peru,Piura,Sechura,Cerro Ñaupe,-5.572038,-79.952679,AVES,Biogeografía y distribución,Tumbes-Piura dry forests,Peru,Bosques secos
art092,Peru,Piura,Morropón,Cerro Tongo,AVES,Biogeografía y distribución,art092,Passeriformes,Peru,Piura,Morropón,Cerro Tongo,-5.255729,-80.125566,AVES,Biogeografía y distribución,Tumbes-Piura dry forests,Peru,Bosques secos
art152,Ecuador,Santa Elena,Santa Elena,Chanduy,AVES,Biogeografía y distribución,art152,Charadriiformes,Ecuador,Santa Elena,Santa Elena,Chanduy,-2.401179,-80.685399,AVES,Biogeografía y distribución,Ecuadorian dry forests,Ecuador,Bosques secos
art201,Ecuador,Santa Elena,Santa Elena,Chanduy,AVES,Biogeografía y distribución,art201,Charadriiformes,Ecuador,Santa Elena,Santa Elena,Chanduy,-2.401179,-80.685399,AVES,Biogeografía y distribución,Ecuadorian dry forests,Ecuador,Bosques secos
art092,Peru,Lambayeque,Chiclayo,Chiclayo,AVES,Biogeografía y distribución,art092,Passeriformes,Peru,Lambayeque,Chiclayo,Chiclayo,-6.830009,-79.830006,AVES,Biogeografía y distribución,Sechura desert,Peru,Bosques secos
art021,Ecuador,Manabí,Chone,Chone,AVES,Biogeografía y distribución,art021,Coraciiformes,Ecuador,Manabí,Chone,Chone,-0.714028,-80.109356,AVES,Biogeografía y distribución,Ecuadorian dry forests,Ecuador,Bosques secos
art063,Ecuador,Manabí,Chone,Chone,AVES,Biogeografía y distribución,art063,Apodiformes,Ecuador,Manabí,Chone,Chone,-0.714028,-80.109356,AVES,Biogeografía y distribución,Ecuadorian dry forests,Ecuador,Bosques secos
art147,Ecuador,Manabí,Chone,Chone,AVES,Biogeografía y distribución,art147,Passeriformes,Ecuador,Manabí,Chone,Chone,-0.714028,-80.109356,AVES,Biogeografía y distribución,Ecuadorian dry forests,Ecuador,Bosques secos
art030,Peru,Cajamarca,Hualgayoc,Chugur,AVES,Biogeografía y distribución,art030,Passeriformes,Peru,Cajamarca,Hualgayoc,Chugur,-6.671203,-78.738357,AVES,Biogeografía y distribución,Peruvian Yungas,Peru,Bosques lluviosos
art147,Ecuador,El Oro,Chilla,Cordilera Chilla,AVES,Biogeografía y distribución,art147,Galliformes,Ecuador,El Oro,Chilla,Cordilera Chilla,-3.526809,-79.548199,AVES,Biogeografía y distribución,Northern Andean páramo,Ecuador,Bosques lluviosos
art082,Peru,Piura,Piura,Coto de Caza el Angolo,AVES,Biogeografía y distribución,art082,Passeriformes,Peru,Piura,Piura,Coto de Caza el Angolo,-4.300268,-80.76578,AVES,Biogeografía y distribución,Tumbes-Piura dry forests,Peru,Bosques secos
art095,Peru,Piura,Huancabamba,Cruz Blanca,AVES,Biogeografía y distribución,art095,Strigiformes,Peru,Piura,Huancabamba,Cruz Blanca,-5.372556,-79.613778,AVES,Biogeografía y distribución,Eastern Cordillera real montane forests,Peru,Bosques secos
art063,Ecuador,Loja,Celica,Cruzpamba,AVES,Biogeografía y distribución,art063,Apodiformes,Ecuador,Loja,Celica,Cruzpamba,-4.156065,-80.00528,AVES,Biogeografía y distribución,Eastern Cordillera real montane forests,Ecuador,Bosques secos
art147,Ecuador,Guayas,Daule,Daule,AVES,Biogeografía y distribución,art147,Piciformes,Ecuador,Guayas,Daule,Daule,-1.862257,-79.977499,AVES,Biogeografía y distribución,Western Ecuador moist forests,Ecuador,Bosques lluviosos
art063,Peru,Piura,Piura,El Alamor,AVES,Biogeografía y distribución,art063,Apodiformes,Peru,Piura,Piura,El Alamor,-4.478969,-80.400593,AVES,Biogeografía y distribución,Tumbes-Piura dry forests,Peru,Bosques secos
art056,Peru,Tumbes,Tumbes,El Caucho,AVES,Biogeografía y distribución,art056,Apodiformes,Peru,Tumbes,Tumbes,El Caucho,-4.083338,-80.800008,AVES,Biogeografía y distribución,Tumbes-Piura dry forests,Peru,Bosques secos
art078,Peru,Tumbes,Tumbes,El Caucho,AVES,Biogeografía y distribución,art078,Passeriformes,Peru,Tumbes,Tumbes,El Caucho,-4.083338,-80.800008,AVES,Biogeografía y distribución,Tumbes-Piura dry forests,Peru,Bosques secos
art081,Peru,Tumbes,Tumbes,El Caucho,AVES,Biogeografía y distribución,art081,Passeriformes,Peru,Tumbes,Tumbes,El Caucho,-4.083338,-80.800008,AVES,Biogeografía y distribución,Tumbes-Piura dry forests,Peru,Bosques secos
art114,Peru,Tumbes,Tumbes,El Caucho,AVES,Biogeografía y distribución,art114,Passeriformes,Peru,Tumbes,Tumbes,El Caucho,-4.083338,-80.800008,AVES,Biogeografía y distribución,Tumbes-Piura dry forests,Peru,Bosques secos
art115,Peru,Tumbes,Tumbes,El Caucho,AVES,Biogeografía y distribución,art115,Accipitriformes,Peru,Tumbes,Tumbes,El Caucho,-4.083338,-80.800008,AVES,Biogeografía y distribución,Tumbes-Piura dry forests,Peru,Bosques secos
art209,Ecuador,Loja,Paltas,El Empalme,AVES,Biogeografía y distribución,art209,Passeriformes,Ecuador,Loja,Paltas,El Empalme,-4.1478,-79.8569,AVES,Biogeografía y distribución,Eastern Cordillera real montane forests,Ecuador,Bosques secos
art272,Ecuador,Los Ríos,Pueblo Viejo,El Fastidio,AVES,Biogeografía y distribución,art272,Cathartiformes,Ecuador,Los Ríos,Pueblo Viejo,El Fastidio,-1.516667,-79.533333,AVES,Biogeografía y distribución,Western Ecuador moist forests,Ecuador,Bosques lluviosos
art101,Peru,Lambayeque,Jayanca,Embalse La Vieja,AVES,Biogeografía y distribución,art101,Anseriformes,Peru,Lambayeque,Jayanca,Embalse La Vieja,-6.391389,-79.757778,AVES,Biogeografía y distribución,Sechura desert,Peru,Bosques secos
art021,Ecuador,Esmeraldas,Esmeraldas,Esmeraldas,AVES,Biogeografía y distribución,art021,Coraciiformes,Ecuador,Esmeraldas,Esmeraldas,Esmeraldas,0.968151,-79.651703,AVES,Biogeografía y distribución,NA,NA,Bosques lluviosos
art063,Ecuador,Esmeraldas,Esmeraldas,Esmeraldas,AVES,Biogeografía y distribución,art063,Apodiformes,Ecuador,Esmeraldas,Esmeraldas,Esmeraldas,0.968151,-79.7,AVES,Biogeografía y distribución,NA,NA,Bosques lluviosos
art093,Ecuador,Esmeraldas,Esmeraldas,Esmeraldas,AVES,Biogeografía y distribución,art093,Tinamiformes,Ecuador,Esmeraldas,Esmeraldas,Esmeraldas,0.968151,-79.651703,AVES,Biogeografía y distribución,NA,NA,Bosques lluviosos
art273,Ecuador,Santa Elena,Santa Elena,Estero El Real,AVES,Biogeografía y distribución,art273,Suliformes,Ecuador,Santa Elena,Santa Elena,Estero El Real,-2.387411,-80.721766,AVES,Biogeografía y distribución,Ecuadorian dry forests,Ecuador,Bosques secos
art122,Peru,Piura,Sechura,Estuario de Virrila,AVES,Biogeografía y distribución,art122,Passeriformes,Peru,Piura,Sechura,Estuario de Virrila,-5.798889,-80.864722,AVES,Biogeografía y distribución,NA,NA,Bosques lluviosos
art124,Peru,Piura,Sechura,Estuario de Virrila,AVES,Biogeografía y distribución,art124,Charadriiformes,Peru,Piura,Sechura,Estuario de Virrila,-5.798889,-80.864722,AVES,Biogeografía y distribución,NA,NA,Bosques lluviosos
art045,Peru,Lambayeque,Chiclayo,Etén,AVES,Biogeografía y distribución,art045,Charadriiformes,Peru,Lambayeque,Chiclayo,Etén,-6.911833,-79.866078,AVES,Biogeografía y distribución,Sechura desert,Peru,Bosques secos
art095,Peru,Lambayeque,Chiclayo,Ferreñafe,AVES,Biogeografía y distribución,art095,Strigiformes,Peru,Lambayeque,Chiclayo,Ferreñafe,-6.63595,-79.785967,AVES,Biogeografía y distribución,Sechura desert,Peru,Bosques secos
art063,Ecuador,Azuay,Girón,Girón,AVES,Biogeografía y distribución,art063,Apodiformes,Ecuador,Azuay,Girón,Girón,-3.159404,-79.147809,AVES,Biogeografía y distribución,Eastern Cordillera real montane forests,Ecuador,Bosques secos
art152,Ecuador,Guayas,Guayaquil,Golfo de Guayaquil,AVES,Biogeografía y distribución,art152,Charadriiformes,Ecuador,Guayas,Guayaquil,Golfo de Guayaquil,-3.086738,-80.358704,AVES,Biogeografía y distribución,NA,NA,Bosques lluviosos
art255,Ecuador,Guayas,Guayaquil,Golfo de Guayaquil,AVES,Biogeografía y distribución,art255,Pelecaniformes,Ecuador,Guayas,Guayaquil,Golfo de Guayaquil,-3.086738,-80.358704,AVES,Biogeografía y distribución,NA,NA,Bosques lluviosos
art063,Ecuador,Loja,Paltas,Guachanama,AVES,Biogeografía y distribución,art063,Apodiformes,Ecuador,Loja,Paltas,Guachanama,-4.066903,-79.852064,AVES,Biogeografía y distribución,Eastern Cordillera real montane forests,Ecuador,Bosques secos
art045,Ecuador,Guayas,Guayaquil,Guayaquil,AVES,Biogeografía y distribución,art045,Charadriiformes,Ecuador,Guayas,Guayaquil,Guayaquil,-2.189029,-79.889032,AVES,Biogeografía y distribución,Western Ecuador moist forests,Ecuador,Bosques lluviosos
art093,Ecuador,Guayas,Guayaquil,Guayaquil,AVES,Biogeografía y distribución,art093,Tinamiformes,Ecuador,Guayas,Guayaquil,Guayaquil,-2.189029,-79.889032,AVES,Biogeografía y distribución,Western Ecuador moist forests,Ecuador,Bosques lluviosos
art147,Ecuador,Guayas,Guayaquil,Guayaquil,AVES,Biogeografía y distribución,art147,Passeriformes,Ecuador,Guayas,Guayaquil,Guayaquil,-2.189029,-79.889032,AVES,Biogeografía y distribución,Western Ecuador moist forests,Ecuador,Bosques lluviosos
art272,Ecuador,Los Ríos,Pueblo Viejo,Hacienda  Tierra  Colorada,AVES,Biogeografía y distribución,art272,Anseriformes,Ecuador,Los Ríos,Pueblo Viejo,Hacienda  Tierra  Colorada,-1.633333,-79.55,AVES,Biogeografía y distribución,Western Ecuador moist forests,Ecuador,Bosques lluviosos
art272,Ecuador,Los Ríos,Pueblo Viejo,Hacienda Caracas,AVES,Biogeografía y distribución,art272,Anseriformes,Ecuador,Los Ríos,Pueblo Viejo,Hacienda Caracas,-1.55,-79.516667,AVES,Biogeografía y distribución,Western Ecuador moist forests,Ecuador,Bosques lluviosos
art095,Peru,Piura,Ayabaca,Huamba,AVES,Biogeografía y distribución,art095,Strigiformes,Peru,Piura,Ayabaca,Huamba,-4.718472,-79.530583,AVES,Biogeografía y distribución,Eastern Cordillera real montane forests,Peru,Bosques secos
art136,Peru,Piura,Paita,Isla la Foca,AVES,Biogeografía y distribución,art136,Sphenisciformes,Peru,Piura,Paita,Isla la Foca,-5.209906,-81.20576,AVES,Biogeografía y distribución,NA,NA,Bosques lluviosos
art161,Ecuador,Manabí,Puerto López,Isla La Plata,AVES,Biogeografía y distribución,art161,Procellariiformes,Ecuador,Manabí,Puerto López,Isla La Plata,-1.278,-81.082,AVES,Biogeografía y distribución,NA,NA,Bosques lluviosos
art200,Ecuador,Manabí,Puerto López,Isla La Plata,AVES,Biogeografía y distribución,art200,Procellariiformes,Ecuador,Manabí,Puerto López,Isla La Plata,-1.278,-81.082,AVES,Biogeografía y distribución,NA,NA,Bosques lluviosos
art209,Ecuador,Manabí,Puerto López,Isla La Plata,AVES,Biogeografía y distribución,art209,Podicipediformes,Ecuador,Manabí,Puerto López,Isla La Plata,-1.274603,-81.067395,AVES,Biogeografía y distribución,NA,NA,Bosques lluviosos
art090,Peru,Lambayeque,Isla Lobos de Afuera,Isla Lobos de Afuera,AVES,Biogeografía y distribución,art090,Pelecaniformes,Peru,Lambayeque,Isla Lobos de Afuera,Isla Lobos de Afuera,-6.9487,-80.719102,AVES,Biogeografía y distribución,NA,NA,Bosques lluviosos
art144,Peru,Lambayeque,Isla Lobos de Afuera,Isla Lobos de Afuera,AVES,Biogeografía y distribución,art144,Suliformes,Peru,Lambayeque,Isla Lobos de Afuera,Isla Lobos de Afuera,-6.9487,-80.719102,AVES,Biogeografía y distribución,NA,NA,Bosques lluviosos
art086,Peru,Piura,Isla Lobos de Tierra,Isla Lobos de Tierra,AVES,Biogeografía y distribución,art086,Suliformes,Peru,Piura,Isla Lobos de Tierra,Isla Lobos de Tierra,-6.437813,-80.859788,AVES,Biogeografía y distribución,NA,NA,Bosques lluviosos
art144,Peru,Piura,Isla Lobos de Tierra,Isla Lobos de Tierra,AVES,Biogeografía y distribución,art144,Suliformes,Peru,Piura,Isla Lobos de Tierra,Isla Lobos de Tierra,-6.437813,-80.859788,AVES,Biogeografía y distribución,NA,NA,Bosques lluviosos
art096,Peru,La Libertad,Isla Macabí,Isla Macabí,AVES,Biogeografía y distribución,art096,Suliformes,Peru,La Libertad,Isla Macabí,Isla Macabí,-7.8,-79.5,AVES,Biogeografía y distribución,NA,NA,Bosques lluviosos
art045,Ecuador,Guayas,Isla Puna,Isla Puna,AVES,Biogeografía y distribución,art045,Charadriiformes,Ecuador,Guayas,Isla Puna,Isla Puna,-2.854819,-80.142857,AVES,Biogeografía y distribución,NA,NA,Bosques lluviosos
art063,Ecuador,Guayas,Isla Puna,Isla Puna,AVES,Biogeografía y distribución,art063,Apodiformes,Ecuador,Guayas,Isla Puna,Isla Puna,-2.854819,-80.142857,AVES,Biogeografía y distribución,NA,NA,Bosques lluviosos
art147,Ecuador,Guayas,Isla Puna,Isla Puna,AVES,Biogeografía y distribución,art147,Passeriformes,Ecuador,Guayas,Isla Puna,Isla Puna,-2.854819,-80.142857,AVES,Biogeografía y distribución,NA,NA,Bosques lluviosos
